Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Duration,Original Record Label & Catalog No.,Suggested Filename,Concatenate,Eliminate Hyphens,Substitute Google Comma Char.,Eliminate Ampersand Phrases,,,Eliminate Parentheticals,,Search Formula
01/28/95,1995,72,Livin’ Joy ,Livin' Joy,Dreamer,Dreamer,5:33,MCA 55017,Livin' Joy--Dreamer (1995),%22Livin' Joy%22+%22Dreamer%22,%22Livin%27 Joy%22+%22Dreamer%22,%22Livin%27 Joy%22+%22Dreamer%22,,,%22Livin%27 Joy%22+%22Dreamer%22,,,https://www.google.com/search?q=%22Livin%27 Joy%22+%22Dreamer%22&ie=utf-8&oe=utf-8
02/04/95,1995,4,Brandy ,Brandy,Baby,Baby,4:16,Atlantic 87173,Brandy--Baby (1995),%22Brandy%22+%22Baby%22,%22Brandy%22+%22Baby%22,%22Brandy%22+%22Baby%22,,,%22Brandy%22+%22Baby%22,,,https://www.google.com/search?q=%22Brandy%22+%22Baby%22&ie=utf-8&oe=utf-8
02/04/95,1995,15,Subway Featuring 702 ,Subway,This Lil’ Game We Play,This Lil' Game We Play,4:50,Biv 10 0252,Subway--This Lil' Game We Play (1995),%22Subway%22+%22This Lil' Game We Play%22,%22Subway%22+%22This Lil%27 Game We Play%22,%22Subway%22+%22This Lil%27 Game We Play%22,,,%22Subway%22+%22This Lil%27 Game We Play%22,,,https://www.google.com/search?q=%22Subway%22+%22This Lil%27 Game We Play%22&ie=utf-8&oe=utf-8
02/04/95,1995,54,Channel Live ,Channel Live,Mad Izm,Mad Izm,4:08,Capitol 58313,Channel Live--Mad Izm (1995),%22Channel Live%22+%22Mad Izm%22,%22Channel Live%22+%22Mad Izm%22,%22Channel Live%22+%22Mad Izm%22,,,%22Channel Live%22+%22Mad Izm%22,,,https://www.google.com/search?q=%22Channel Live%22+%22Mad Izm%22&ie=utf-8&oe=utf-8
02/04/95,1995,57,Capleton ,Capleton,Tour,Tour,4:42,Signet 162,Capleton--Tour (1995),%22Capleton%22+%22Tour%22,%22Capleton%22+%22Tour%22,%22Capleton%22+%22Tour%22,,,%22Capleton%22+%22Tour%22,,,https://www.google.com/search?q=%22Capleton%22+%22Tour%22&ie=utf-8&oe=utf-8
02/04/95,1995,69,Max-A-Million ,Max-A-Million,Fat Boy,Fat Boy,3:35,Zoo 14215,Max-A-Million--Fat Boy (1995),%22Max-A-Million%22+%22Fat Boy%22,%22Max-A-Million%22+%22Fat Boy%22,%22Max-A-Million%22+%22Fat Boy%22,,,%22Max-A-Million%22+%22Fat Boy%22,,,https://www.google.com/search?q=%22Max-A-Million%22+%22Fat Boy%22&ie=utf-8&oe=utf-8
02/04/95,1995,76,Pete Rock & C.L. Smooth ,Pete Rock & C.L. Smooth,Take You There,Take You There,4:19,Elektra 64496,Pete Rock & C.L. Smooth--Take You There (1995),%22Pete Rock & C.L. Smooth%22+%22Take You There%22,%22Pete Rock & C.L. Smooth%22+%22Take You There%22,%22Pete Rock & C.L. Smooth%22+%22Take You There%22,14,27,%22Pete Rock%22+%22Take You There%22,,,https://www.google.com/search?q=%22Pete Rock%22+%22Take You There%22&ie=utf-8&oe=utf-8
02/04/95,1995,85,Group Home ,Group Home,Supa Star,Supa Star,4:12,Payday/FFRR 127 019,Group Home--Supa Star (1995),%22Group Home%22+%22Supa Star%22,%22Group Home%22+%22Supa Star%22,%22Group Home%22+%22Supa Star%22,,,%22Group Home%22+%22Supa Star%22,,,https://www.google.com/search?q=%22Group Home%22+%22Supa Star%22&ie=utf-8&oe=utf-8
02/11/95,1995,2,Adina Howard ,Adina Howard,Freak Like Me,Freak Like Me,3:58,Mecca Don/EastWest 64484,Adina Howard--Freak Like Me (1995),%22Adina Howard%22+%22Freak Like Me%22,%22Adina Howard%22+%22Freak Like Me%22,%22Adina Howard%22+%22Freak Like Me%22,,,%22Adina Howard%22+%22Freak Like Me%22,,,https://www.google.com/search?q=%22Adina Howard%22+%22Freak Like Me%22&ie=utf-8&oe=utf-8
02/11/95,1995,29,Stevie B ,Stevie B,Dream About You,Dream About You,4:04,Thump 2205,Stevie B--Dream About You (1995),%22Stevie B%22+%22Dream About You%22,%22Stevie B%22+%22Dream About You%22,%22Stevie B%22+%22Dream About You%22,,,%22Stevie B%22+%22Dream About You%22,,,https://www.google.com/search?q=%22Stevie B%22+%22Dream About You%22&ie=utf-8&oe=utf-8
02/11/95,1995,53,Portishead ,Portishead,Sour Times (Nobody Loves Me),Sour Times (Nobody Loves Me),4:02,GO! Discs/London-Sire 857 816,Portishead--Sour Times (Nobody Loves Me) (1995),%22Portishead%22+%22Sour Times (Nobody Loves Me)%22,%22Portishead%22+%22Sour Times (Nobody Loves Me)%22,%22Portishead%22+%22Sour Times (Nobody Loves Me)%22,,,%22Portishead%22+%22Sour Times (Nobody Loves Me)%22,32,48,https://www.google.com/search?q=%22Portishead%22+%22Sour Times%22&ie=utf-8&oe=utf-8
02/11/95,1995,54,K7 ,K7,Move It Like This,Move It Like This,4:26,Tommy Boy 7633,K7--Move It Like This (1995),%22K7%22+%22Move It Like This%22,%22K7%22+%22Move It Like This%22,%22K7%22+%22Move It Like This%22,,,%22K7%22+%22Move It Like This%22,,,https://www.google.com/search?q=%22K7%22+%22Move It Like This%22&ie=utf-8&oe=utf-8
02/11/95,1995,77,95 South ,95 South,Rodeo,Rodeo,4:30,Rip-It 9511,95 South--Rodeo (1995),%2295 South%22+%22Rodeo%22,%2295 South%22+%22Rodeo%22,%2295 South%22+%22Rodeo%22,,,%2295 South%22+%22Rodeo%22,,,https://www.google.com/search?q=%2295 South%22+%22Rodeo%22&ie=utf-8&oe=utf-8
02/11/95,1995,79,MissJones ,MissJones,Where I Wanna Be Boy,Where I Wanna Be Boy,4:08,Step Sun 7144,MissJones--Where I Wanna Be Boy (1995),%22MissJones%22+%22Where I Wanna Be Boy%22,%22MissJones%22+%22Where I Wanna Be Boy%22,%22MissJones%22+%22Where I Wanna Be Boy%22,,,%22MissJones%22+%22Where I Wanna Be Boy%22,,,https://www.google.com/search?q=%22MissJones%22+%22Where I Wanna Be Boy%22&ie=utf-8&oe=utf-8
02/18/95,1995,8,Blessid Union Of Souls ,Blessid Union of Souls,I Believe,I Believe,4:32,EMI 58320,Blessid Union of Souls--I Believe (1995),%22Blessid Union of Souls%22+%22I Believe%22,%22Blessid Union of Souls%22+%22I Believe%22,%22Blessid Union of Souls%22+%22I Believe%22,,,%22Blessid Union of Souls%22+%22I Believe%22,,,https://www.google.com/search?q=%22Blessid Union of Souls%22+%22I Believe%22&ie=utf-8&oe=utf-8
02/18/95,1995,16,Melissa Etheridge ,Melissa Etheridge,If I Wanted To,If I Wanted To,3:27,Island 854238,Melissa Etheridge--If I Wanted To (1995),%22Melissa Etheridge%22+%22If I Wanted To%22,%22Melissa Etheridge%22+%22If I Wanted To%22,%22Melissa Etheridge%22+%22If I Wanted To%22,,,%22Melissa Etheridge%22+%22If I Wanted To%22,,,https://www.google.com/search?q=%22Melissa Etheridge%22+%22If I Wanted To%22&ie=utf-8&oe=utf-8
02/18/95,1995,17,K-Ci Hailey of Jodeci ,K-Ci Hailey of Jodeci,If You Think You’re Lonely Now,If You Think You're Lonely Now,4:28,Mercury 856572,K-Ci Hailey of Jodeci--If You Think You're Lonely Now (1995),%22K-Ci Hailey of Jodeci%22+%22If You Think You're Lonely Now%22,%22K-Ci Hailey of Jodeci%22+%22If You Think You%27re Lonely Now%22,%22K-Ci Hailey of Jodeci%22+%22If You Think You%27re Lonely Now%22,,,%22K-Ci Hailey of Jodeci%22+%22If You Think You%27re Lonely Now%22,,,https://www.google.com/search?q=%22K-Ci Hailey of Jodeci%22+%22If You Think You%27re Lonely Now%22&ie=utf-8&oe=utf-8
02/18/95,1995,33,Bonnie Raitt ,Bonnie Raitt,You Got It,You Got It,3:21,Arista 1-2795,Bonnie Raitt--You Got It (1995),%22Bonnie Raitt%22+%22You Got It%22,%22Bonnie Raitt%22+%22You Got It%22,%22Bonnie Raitt%22+%22You Got It%22,,,%22Bonnie Raitt%22+%22You Got It%22,,,https://www.google.com/search?q=%22Bonnie Raitt%22+%22You Got It%22&ie=utf-8&oe=utf-8
02/18/95,1995,42,Melissa Etheridge ,Melissa Etheridge,Like The Way I Do,Like the Way I Do,5:15,Island 854238,Melissa Etheridge--Like the Way I Do (1995),%22Melissa Etheridge%22+%22Like the Way I Do%22,%22Melissa Etheridge%22+%22Like the Way I Do%22,%22Melissa Etheridge%22+%22Like the Way I Do%22,,,%22Melissa Etheridge%22+%22Like the Way I Do%22,,,https://www.google.com/search?q=%22Melissa Etheridge%22+%22Like the Way I Do%22&ie=utf-8&oe=utf-8
02/18/95,1995,52,Simple Minds ,Simple Minds,She’s A River,She's a River,4:22,Virgin 38467,Simple Minds--She's a River (1995),%22Simple Minds%22+%22She's a River%22,%22Simple Minds%22+%22She%27s a River%22,%22Simple Minds%22+%22She%27s a River%22,,,%22Simple Minds%22+%22She%27s a River%22,,,https://www.google.com/search?q=%22Simple Minds%22+%22She%27s a River%22&ie=utf-8&oe=utf-8
02/18/95,1995,58,Usher ,Usher,Think Of You,Think of You,3:44,LaFace 24094,Usher--Think of You (1995),%22Usher%22+%22Think of You%22,%22Usher%22+%22Think of You%22,%22Usher%22+%22Think of You%22,,,%22Usher%22+%22Think of You%22,,,https://www.google.com/search?q=%22Usher%22+%22Think of You%22&ie=utf-8&oe=utf-8
02/18/95,1995,81,Karyn White ,Karyn White,Can I Stay With You,Can I Stay With You,4:07,Warner Bros. 18007,Karyn White--Can I Stay With You (1995),%22Karyn White%22+%22Can I Stay With You%22,%22Karyn White%22+%22Can I Stay With You%22,%22Karyn White%22+%22Can I Stay With You%22,,,%22Karyn White%22+%22Can I Stay With You%22,,,https://www.google.com/search?q=%22Karyn White%22+%22Can I Stay With You%22&ie=utf-8&oe=utf-8
02/18/95,1995,89,John Waite ,John Waite,How Did I Get By Without You,How Did I Get by Without You,3:56,Imago 25091,John Waite--How Did I Get by Without You (1995),%22John Waite%22+%22How Did I Get by Without You%22,%22John Waite%22+%22How Did I Get by Without You%22,%22John Waite%22+%22How Did I Get by Without You%22,,,%22John Waite%22+%22How Did I Get by Without You%22,,,https://www.google.com/search?q=%22John Waite%22+%22How Did I Get by Without You%22&ie=utf-8&oe=utf-8
02/25/95,1995,1,Montell Jordan ,Montell Jordan,This Is How We Do It,This Is How We Do It,3:56,PMP/RAL 851468,Montell Jordan--This Is How We Do It (1995),%22Montell Jordan%22+%22This Is How We Do It%22,%22Montell Jordan%22+%22This Is How We Do It%22,%22Montell Jordan%22+%22This Is How We Do It%22,,,%22Montell Jordan%22+%22This Is How We Do It%22,,,https://www.google.com/search?q=%22Montell Jordan%22+%22This Is How We Do It%22&ie=utf-8&oe=utf-8
02/25/95,1995,21,Boyz II Men ,Boyz II Men,Thank You,Thank You,4:31,Motown 0274,Boyz II Men--Thank You (1995),%22Boyz II Men%22+%22Thank You%22,%22Boyz II Men%22+%22Thank You%22,%22Boyz II Men%22+%22Thank You%22,,,%22Boyz II Men%22+%22Thank You%22,,,https://www.google.com/search?q=%22Boyz II Men%22+%22Thank You%22&ie=utf-8&oe=utf-8
02/25/95,1995,26,Firehouse ,Firehouse,I Live My Life For You,I Live My Life for You,4:22,Epic 77812,Firehouse--I Live My Life for You (1995),%22Firehouse%22+%22I Live My Life for You%22,%22Firehouse%22+%22I Live My Life for You%22,%22Firehouse%22+%22I Live My Life for You%22,,,%22Firehouse%22+%22I Live My Life for You%22,,,https://www.google.com/search?q=%22Firehouse%22+%22I Live My Life for You%22&ie=utf-8&oe=utf-8
02/25/95,1995,41,Bone Thugs N Harmony Featuring Eazy-E ,Bone Thugs-N-Harmony,Foe Tha Love Of $,Foe Tha Love of $,4:37,Ruthless 5540,Bone Thugs-N-Harmony--Foe Tha Love of $ (1995),%22Bone Thugs-N-Harmony%22+%22Foe Tha Love of $%22,%22Bone Thugs-N-Harmony%22+%22Foe Tha Love of $%22,%22Bone Thugs-N-Harmony%22+%22Foe Tha Love of $%22,,,%22Bone Thugs-N-Harmony%22+%22Foe Tha Love of $%22,,,https://www.google.com/search?q=%22Bone Thugs-N-Harmony%22+%22Foe Tha Love of $%22&ie=utf-8&oe=utf-8
02/25/95,1995,54,Ol’ Dirty Bastard ,Ol' Dirty Bastard,Brooklyn Zoo,Brooklyn Zoo,3:49,Elektra 64477,Ol' Dirty Bastard--Brooklyn Zoo (1995),%22Ol' Dirty Bastard%22+%22Brooklyn Zoo%22,%22Ol%27 Dirty Bastard%22+%22Brooklyn Zoo%22,%22Ol%27 Dirty Bastard%22+%22Brooklyn Zoo%22,,,%22Ol%27 Dirty Bastard%22+%22Brooklyn Zoo%22,,,https://www.google.com/search?q=%22Ol%27 Dirty Bastard%22+%22Brooklyn Zoo%22&ie=utf-8&oe=utf-8
02/25/95,1995,59,Mobb Deep ,Mobb Deep,Shook Ones Part II,Shook Ones Part II,4:24,RCA 64294,Mobb Deep--Shook Ones Part II (1995),%22Mobb Deep%22+%22Shook Ones Part II%22,%22Mobb Deep%22+%22Shook Ones Part II%22,%22Mobb Deep%22+%22Shook Ones Part II%22,,,%22Mobb Deep%22+%22Shook Ones Part II%22,,,https://www.google.com/search?q=%22Mobb Deep%22+%22Shook Ones Part II%22&ie=utf-8&oe=utf-8
02/25/95,1995,71,E-40 Featuring Leviti ,E-40,1-Luv,1-Luv,4:56,Jive 42289,E-40--1-Luv (1995),%22E-40%22+%221-Luv%22,%22E-40%22+%221-Luv%22,%22E-40%22+%221-Luv%22,,,%22E-40%22+%221-Luv%22,,,https://www.google.com/search?q=%22E-40%22+%221-Luv%22&ie=utf-8&oe=utf-8
02/25/95,1995,94,Redman ,Redman,Can’t Wait,Can't Wait,3:46,Def Jam 851 466,Redman--Can't Wait (1995),%22Redman%22+%22Can't Wait%22,%22Redman%22+%22Can%27t Wait%22,%22Redman%22+%22Can%27t Wait%22,,,%22Redman%22+%22Can%27t Wait%22,,,https://www.google.com/search?q=%22Redman%22+%22Can%27t Wait%22&ie=utf-8&oe=utf-8
03/04/95,1995,2,TLC ,TLC,Red Light Special,Red Light Special,4:53,LaFace 2-4097,TLC--Red Light Special (1995),%22TLC%22+%22Red Light Special%22,%22TLC%22+%22Red Light Special%22,%22TLC%22+%22Red Light Special%22,,,%22TLC%22+%22Red Light Special%22,,,https://www.google.com/search?q=%22TLC%22+%22Red Light Special%22&ie=utf-8&oe=utf-8
03/04/95,1995,42,Gillette ,Gillette,Mr. Personality,Mr. Personality,3:30,Zoo 14209,Gillette--Mr. Personality (1995),%22Gillette%22+%22Mr. Personality%22,%22Gillette%22+%22Mr. Personality%22,%22Gillette%22+%22Mr. Personality%22,,,%22Gillette%22+%22Mr. Personality%22,,,https://www.google.com/search?q=%22Gillette%22+%22Mr. Personality%22&ie=utf-8&oe=utf-8
03/04/95,1995,53,Stevie Wonder ,Stevie Wonder,For Your Love,For Your Love,4:05,Motown 0290,Stevie Wonder--For Your Love (1995),%22Stevie Wonder%22+%22For Your Love%22,%22Stevie Wonder%22+%22For Your Love%22,%22Stevie Wonder%22+%22For Your Love%22,,,%22Stevie Wonder%22+%22For Your Love%22,,,https://www.google.com/search?q=%22Stevie Wonder%22+%22For Your Love%22&ie=utf-8&oe=utf-8
03/04/95,1995,53,Keith Martin ,Keith Martin,Never Find Someone Like You,Never Find Someone Like You,4:29,Ruffhouse 77817,Keith Martin--Never Find Someone Like You (1995),%22Keith Martin%22+%22Never Find Someone Like You%22,%22Keith Martin%22+%22Never Find Someone Like You%22,%22Keith Martin%22+%22Never Find Someone Like You%22,,,%22Keith Martin%22+%22Never Find Someone Like You%22,,,https://www.google.com/search?q=%22Keith Martin%22+%22Never Find Someone Like You%22&ie=utf-8&oe=utf-8
03/04/95,1995,71,Keith Murray ,Keith Murray,Get Lifted,Get Lifted,4:03,Jive 42282,Keith Murray--Get Lifted (1995),%22Keith Murray%22+%22Get Lifted%22,%22Keith Murray%22+%22Get Lifted%22,%22Keith Murray%22+%22Get Lifted%22,,,%22Keith Murray%22+%22Get Lifted%22,,,https://www.google.com/search?q=%22Keith Murray%22+%22Get Lifted%22&ie=utf-8&oe=utf-8
03/04/95,1995,82,Crystal Waters ,Crystal Waters,What I Need,What I Need,4:12,Mercury 856 404,Crystal Waters--What I Need (1995),%22Crystal Waters%22+%22What I Need%22,%22Crystal Waters%22+%22What I Need%22,%22Crystal Waters%22+%22What I Need%22,,,%22Crystal Waters%22+%22What I Need%22,,,https://www.google.com/search?q=%22Crystal Waters%22+%22What I Need%22&ie=utf-8&oe=utf-8
03/11/95,1995,3,Real McCoy ,Real McCoy,Run Away,Run Away,4:02,Arista 1-2808,Real McCoy--Run Away (1995),%22Real McCoy%22+%22Run Away%22,%22Real McCoy%22+%22Run Away%22,%22Real McCoy%22+%22Run Away%22,,,%22Real McCoy%22+%22Run Away%22,,,https://www.google.com/search?q=%22Real McCoy%22+%22Run Away%22&ie=utf-8&oe=utf-8
03/11/95,1995,9,2 Pac ,Tupac,Dear Mama,Dear Mama,4:41,Interscope 98273,Tupac--Dear Mama (1995),%22Tupac%22+%22Dear Mama%22,%22Tupac%22+%22Dear Mama%22,%22Tupac%22+%22Dear Mama%22,,,%22Tupac%22+%22Dear Mama%22,,,https://www.google.com/search?q=%22Tupac%22+%22Dear Mama%22&ie=utf-8&oe=utf-8
03/11/95,1995,9,Hootie & The Blowfish ,Hootie & The Blowfish,Let Her Cry,Let Her Cry,4:12,Atlantic 87231,Hootie & The Blowfish--Let Her Cry (1995),%22Hootie & The Blowfish%22+%22Let Her Cry%22,%22Hootie & The Blowfish%22+%22Let Her Cry%22,%22Hootie & The Blowfish%22+%22Let Her Cry%22,11,25,%22Hootie%22+%22Let Her Cry%22,,,https://www.google.com/search?q=%22Hootie%22+%22Let Her Cry%22&ie=utf-8&oe=utf-8
03/11/95,1995,13,Elton John ,Elton John,Believe,Believe,4:48,Rocket 6014,Elton John--Believe (1995),%22Elton John%22+%22Believe%22,%22Elton John%22+%22Believe%22,%22Elton John%22+%22Believe%22,,,%22Elton John%22+%22Believe%22,,,https://www.google.com/search?q=%22Elton John%22+%22Believe%22&ie=utf-8&oe=utf-8
03/11/95,1995,23,Annie Lennox ,Annie Lennox,No More “I Love You’s”,No More 'I Love You's',4:49,Arista 1-2804,Annie Lennox--No More 'I Love You's' (1995),%22Annie Lennox%22+%22No More 'I Love You's'%22,%22Annie Lennox%22+%22No More %27I Love You%27s%27%22,%22Annie Lennox%22+%22No More %27I Love You%27s%27%22,,,%22Annie Lennox%22+%22No More %27I Love You%27s%27%22,,,https://www.google.com/search?q=%22Annie Lennox%22+%22No More %27I Love You%27s%27%22&ie=utf-8&oe=utf-8
03/11/95,1995,25,Rednex ,Rednex,Cotton Eye Joe,Cotton Eye Joe,3:12,Battery 46501,Rednex--Cotton Eye Joe (1995),%22Rednex%22+%22Cotton Eye Joe%22,%22Rednex%22+%22Cotton Eye Joe%22,%22Rednex%22+%22Cotton Eye Joe%22,,,%22Rednex%22+%22Cotton Eye Joe%22,,,https://www.google.com/search?q=%22Rednex%22+%22Cotton Eye Joe%22&ie=utf-8&oe=utf-8
03/11/95,1995,44,IV Xample ,IV Xample,I’d Rather Be Alone,I'd Rather Be Alone,4:39,MCA 54992,IV Xample--I'd Rather Be Alone (1995),%22IV Xample%22+%22I'd Rather Be Alone%22,%22IV Xample%22+%22I%27d Rather Be Alone%22,%22IV Xample%22+%22I%27d Rather Be Alone%22,,,%22IV Xample%22+%22I%27d Rather Be Alone%22,,,https://www.google.com/search?q=%22IV Xample%22+%22I%27d Rather Be Alone%22&ie=utf-8&oe=utf-8
03/11/95,1995,74,Scarface Featuring Ice Cube ,Scarface,People Don’t Believe,People Don't Believe,4:43,Rap-A-Lot 38469,Scarface--People Don't Believe (1995),%22Scarface%22+%22People Don't Believe%22,%22Scarface%22+%22People Don%27t Believe%22,%22Scarface%22+%22People Don%27t Believe%22,,,%22Scarface%22+%22People Don%27t Believe%22,,,https://www.google.com/search?q=%22Scarface%22+%22People Don%27t Believe%22&ie=utf-8&oe=utf-8
03/11/95,1995,81,Shabba Ranks ,Shabba Ranks,Let’s Get It On,Let's Get It On,4:12,Epic Street 77833,Shabba Ranks--Let's Get It On (1995),%22Shabba Ranks%22+%22Let's Get It On%22,%22Shabba Ranks%22+%22Let%27s Get It On%22,%22Shabba Ranks%22+%22Let%27s Get It On%22,,,%22Shabba Ranks%22+%22Let%27s Get It On%22,,,https://www.google.com/search?q=%22Shabba Ranks%22+%22Let%27s Get It On%22&ie=utf-8&oe=utf-8
03/18/95,1995,10,Dr. Dre ,Dr. Dre,Keep Their Heads Ringin’,Keep Their Heads Ringin',5:02,Priority 53188,Dr. Dre--Keep Their Heads Ringin' (1995),%22Dr. Dre%22+%22Keep Their Heads Ringin'%22,%22Dr. Dre%22+%22Keep Their Heads Ringin%27%22,%22Dr. Dre%22+%22Keep Their Heads Ringin%27%22,,,%22Dr. Dre%22+%22Keep Their Heads Ringin%27%22,,,https://www.google.com/search?q=%22Dr. Dre%22+%22Keep Their Heads Ringin%27%22&ie=utf-8&oe=utf-8
03/18/95,1995,42,Foreigner ,Foreigner,Until The End Of Time,Until the End of Time,4:16,Generama/Rhythm Safari 53183,Foreigner--Until the End of Time (1995),%22Foreigner%22+%22Until the End of Time%22,%22Foreigner%22+%22Until the End of Time%22,%22Foreigner%22+%22Until the End of Time%22,,,%22Foreigner%22+%22Until the End of Time%22,,,https://www.google.com/search?q=%22Foreigner%22+%22Until the End of Time%22&ie=utf-8&oe=utf-8
03/18/95,1995,46,Fun Factory ,Fun Factory,Close To You,Close to You,3:38,Curb-edel 76945,Fun Factory--Close to You (1995),%22Fun Factory%22+%22Close to You%22,%22Fun Factory%22+%22Close to You%22,%22Fun Factory%22+%22Close to You%22,,,%22Fun Factory%22+%22Close to You%22,,,https://www.google.com/search?q=%22Fun Factory%22+%22Close to You%22&ie=utf-8&oe=utf-8
03/18/95,1995,98,Method Man ,Method Man,Release Yo’ Delf,Release Yo' Delf,4:18,Def Jam 854185,Method Man--Release Yo' Delf (1995),%22Method Man%22+%22Release Yo' Delf%22,%22Method Man%22+%22Release Yo%27 Delf%22,%22Method Man%22+%22Release Yo%27 Delf%22,,,%22Method Man%22+%22Release Yo%27 Delf%22,,,https://www.google.com/search?q=%22Method Man%22+%22Release Yo%27 Delf%22&ie=utf-8&oe=utf-8
03/25/95,1995,8,Blues Traveler ,Blues Traveler,Run-Around,Run-Around,4:12,A&M 0982,Blues Traveler--Run-Around (1995),%22Blues Traveler%22+%22Run-Around%22,%22Blues Traveler%22+%22Run-Around%22,%22Blues Traveler%22+%22Run-Around%22,,,%22Blues Traveler%22+%22Run-Around%22,,,https://www.google.com/search?q=%22Blues Traveler%22+%22Run-Around%22&ie=utf-8&oe=utf-8
03/25/95,1995,19,Raphael Saadiq ,Raphael Saadiq,Ask Of You,Ask of You,4:20,550 Music/Epic,Raphael Saadiq--Ask of You (1995),%22Raphael Saadiq%22+%22Ask of You%22,%22Raphael Saadiq%22+%22Ask of You%22,%22Raphael Saadiq%22+%22Ask of You%22,,,%22Raphael Saadiq%22+%22Ask of You%22,,,https://www.google.com/search?q=%22Raphael Saadiq%22+%22Ask of You%22&ie=utf-8&oe=utf-8
03/25/95,1995,30,Van Halen ,Van Halen,Can’t Stop Lovin’ You,Can't Stop Lovin' You,4:09,Warner 17909,Van Halen--Can't Stop Lovin' You (1995),%22Van Halen%22+%22Can't Stop Lovin' You%22,%22Van Halen%22+%22Can%27t Stop Lovin%27 You%22,%22Van Halen%22+%22Can%27t Stop Lovin%27 You%22,,,%22Van Halen%22+%22Can%27t Stop Lovin%27 You%22,,,https://www.google.com/search?q=%22Van Halen%22+%22Can%27t Stop Lovin%27 You%22&ie=utf-8&oe=utf-8
03/25/95,1995,31,"Human League, The ",Human League,Tell Me When,Tell Me When,4:32,EastWest 64443,Human League--Tell Me When (1995),%22Human League%22+%22Tell Me When%22,%22Human League%22+%22Tell Me When%22,%22Human League%22+%22Tell Me When%22,,,%22Human League%22+%22Tell Me When%22,,,https://www.google.com/search?q=%22Human League%22+%22Tell Me When%22&ie=utf-8&oe=utf-8
03/25/95,1995,39,Rappin’ 4-Tay Featuring The Spinners ,Rappin' 4-Tay,I’ll Be Around,I'll Be Around,4:02,Chrysalis 58331,Rappin' 4-Tay--I'll Be Around (1995),%22Rappin' 4-Tay%22+%22I'll Be Around%22,%22Rappin%27 4-Tay%22+%22I%27ll Be Around%22,%22Rappin%27 4-Tay%22+%22I%27ll Be Around%22,,,%22Rappin%27 4-Tay%22+%22I%27ll Be Around%22,,,https://www.google.com/search?q=%22Rappin%27 4-Tay%22+%22I%27ll Be Around%22&ie=utf-8&oe=utf-8
03/25/95,1995,53,Elastica ,Elastica,Connection,Connection,2:20,DGC 19385,Elastica--Connection (1995),%22Elastica%22+%22Connection%22,%22Elastica%22+%22Connection%22,%22Elastica%22+%22Connection%22,,,%22Elastica%22+%22Connection%22,,,https://www.google.com/search?q=%22Elastica%22+%22Connection%22&ie=utf-8&oe=utf-8
03/25/95,1995,56,Letters To Cleo ,Letters to Cleo,Here & Now,Here & Now,3:40,Giant 17913,Letters to Cleo--Here & Now (1995),%22Letters to Cleo%22+%22Here & Now%22,%22Letters to Cleo%22+%22Here & Now%22,%22Letters to Cleo%22+%22Here & Now%22,31,36,%22Letters to Cleo%22+%22Here%22,,,https://www.google.com/search?q=%22Letters to Cleo%22+%22Here%22&ie=utf-8&oe=utf-8
03/25/95,1995,72,Roula ,Roula,Lick It,Lick It,3:34,S.O.S. 14214,Roula--Lick It (1995),%22Roula%22+%22Lick It%22,%22Roula%22+%22Lick It%22,%22Roula%22+%22Lick It%22,,,%22Roula%22+%22Lick It%22,,,https://www.google.com/search?q=%22Roula%22+%22Lick It%22&ie=utf-8&oe=utf-8
04/01/95,1995,2,Nicki French ,Nicki French,Total Eclipse Of The Heart,Total Eclipse of the Heart,3:45,Critique 15539,Nicki French--Total Eclipse of the Heart (1995),%22Nicki French%22+%22Total Eclipse of the Heart%22,%22Nicki French%22+%22Total Eclipse of the Heart%22,%22Nicki French%22+%22Total Eclipse of the Heart%22,,,%22Nicki French%22+%22Total Eclipse of the Heart%22,,,https://www.google.com/search?q=%22Nicki French%22+%22Total Eclipse of the Heart%22&ie=utf-8&oe=utf-8
04/01/95,1995,13,Diana King ,Diana King,Shy Guy,Shy Guy,3:35,Work 77678,Diana King--Shy Guy (1995),%22Diana King%22+%22Shy Guy%22,%22Diana King%22+%22Shy Guy%22,%22Diana King%22+%22Shy Guy%22,,,%22Diana King%22+%22Shy Guy%22,,,https://www.google.com/search?q=%22Diana King%22+%22Shy Guy%22&ie=utf-8&oe=utf-8
04/01/95,1995,39,Adam Ant ,Adam Ant,Wonderful,Wonderful,3:48,Capitol 58239,Adam Ant--Wonderful (1995),%22Adam Ant%22+%22Wonderful%22,%22Adam Ant%22+%22Wonderful%22,%22Adam Ant%22+%22Wonderful%22,,,%22Adam Ant%22+%22Wonderful%22,,,https://www.google.com/search?q=%22Adam Ant%22+%22Wonderful%22&ie=utf-8&oe=utf-8
04/01/95,1995,43,BLACKstreet ,BLACKstreet,Joy,Joy,4:00,Interscope 98164,BLACKstreet--Joy (1995),%22BLACKstreet%22+%22Joy%22,%22BLACKstreet%22+%22Joy%22,%22BLACKstreet%22+%22Joy%22,,,%22BLACKstreet%22+%22Joy%22,,,https://www.google.com/search?q=%22BLACKstreet%22+%22Joy%22&ie=utf-8&oe=utf-8
