Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Duration,Original Record Label & Catalog No.,Suggested Filename,Concatenate,Eliminate Hyphens,Substitute Google Comma Char.,Eliminate Ampersand Phrases,,,Eliminate Parentheticals,,Search Formula
01/27/90,1990,74,Sybil,Sybil,Walk On By,Walk on By,4:04,Next Plateau 327,Sybil--Walk on By (1990),%22Sybil%22+%22Walk on By%22,%22Sybil%22+%22Walk on By%22,%22Sybil%22+%22Walk on By%22,,,%22Sybil%22+%22Walk on By%22,,,https://www.google.com/search?q=%22Sybil%22+%22Walk on By%22&ie=utf-8&oe=utf-8
01/27/90,1990,88,Yvonne,Yvonne,There’s A Party Going On,There's a Party Going On,3:43,Cutting 228,Yvonne--There's a Party Going On (1990),%22Yvonne%22+%22There's a Party Going On%22,%22Yvonne%22+%22There%27s a Party Going On%22,%22Yvonne%22+%22There%27s a Party Going On%22,,,%22Yvonne%22+%22There%27s a Party Going On%22,,,https://www.google.com/search?q=%22Yvonne%22+%22There%27s a Party Going On%22&ie=utf-8&oe=utf-8
01/27/90,1990,89,Lenny Kravitz,Lenny Kravitz,Let Love Rule,Let Love Rule,5:36,Virgin 99166,Lenny Kravitz--Let Love Rule (1990),%22Lenny Kravitz%22+%22Let Love Rule%22,%22Lenny Kravitz%22+%22Let Love Rule%22,%22Lenny Kravitz%22+%22Let Love Rule%22,,,%22Lenny Kravitz%22+%22Let Love Rule%22,,,https://www.google.com/search?q=%22Lenny Kravitz%22+%22Let Love Rule%22&ie=utf-8&oe=utf-8
02/03/90,1990,3,Lisa Stansfield,Lisa Stansfield,All Around The World,All Around the World,4:16,Arista 9928,Lisa Stansfield--All Around the World (1990),%22Lisa Stansfield%22+%22All Around the World%22,%22Lisa Stansfield%22+%22All Around the World%22,%22Lisa Stansfield%22+%22All Around the World%22,,,%22Lisa Stansfield%22+%22All Around the World%22,,,https://www.google.com/search?q=%22Lisa Stansfield%22+%22All Around the World%22&ie=utf-8&oe=utf-8
02/03/90,1990,3,Phil Collins,Phil Collins,I Wish It Would Rain Down,I Wish It Would Rain Down,5:20,Atlantic 88738,Phil Collins--I Wish It Would Rain Down (1990),%22Phil Collins%22+%22I Wish It Would Rain Down%22,%22Phil Collins%22+%22I Wish It Would Rain Down%22,%22Phil Collins%22+%22I Wish It Would Rain Down%22,,,%22Phil Collins%22+%22I Wish It Would Rain Down%22,,,https://www.google.com/search?q=%22Phil Collins%22+%22I Wish It Would Rain Down%22&ie=utf-8&oe=utf-8
02/03/90,1990,8,KISS,KISS,Forever,Forever,3:52,Mercury 876716,KISS--Forever (1990),%22KISS%22+%22Forever%22,%22KISS%22+%22Forever%22,%22KISS%22+%22Forever%22,,,%22KISS%22+%22Forever%22,,,https://www.google.com/search?q=%22KISS%22+%22Forever%22&ie=utf-8&oe=utf-8
02/03/90,1990,8,Madonna,Madonna,Keep It Together,Keep It Together,4:35,Sire 7-19986,Madonna--Keep It Together (1990),%22Madonna%22+%22Keep It Together%22,%22Madonna%22+%22Keep It Together%22,%22Madonna%22+%22Keep It Together%22,,,%22Madonna%22+%22Keep It Together%22,,,https://www.google.com/search?q=%22Madonna%22+%22Keep It Together%22&ie=utf-8&oe=utf-8
02/03/90,1990,29,Stevie B,Stevie B,Love Me For Life,Love Me for Life,5:12,LMR 84006,Stevie B--Love Me for Life (1990),%22Stevie B%22+%22Love Me for Life%22,%22Stevie B%22+%22Love Me for Life%22,%22Stevie B%22+%22Love Me for Life%22,,,%22Stevie B%22+%22Love Me for Life%22,,,https://www.google.com/search?q=%22Stevie B%22+%22Love Me for Life%22&ie=utf-8&oe=utf-8
02/03/90,1990,36,"Brat Pack, The",Brat Pack,You’re The Only Woman,You're the Only Woman,4:00,Vendetta 1447,Brat Pack--You're the Only Woman (1990),%22Brat Pack%22+%22You're the Only Woman%22,%22Brat Pack%22+%22You%27re the Only Woman%22,%22Brat Pack%22+%22You%27re the Only Woman%22,,,%22Brat Pack%22+%22You%27re the Only Woman%22,,,https://www.google.com/search?q=%22Brat Pack%22+%22You%27re the Only Woman%22&ie=utf-8&oe=utf-8
02/03/90,1990,69,Jive Bunny & The Mastermixers,Jive Bunny & The Mastermixers,That’s What I Like,That's What I Like,3:58,Music Factory 7-99122,Jive Bunny & The Mastermixers--That's What I Like (1990),%22Jive Bunny & The Mastermixers%22+%22That's What I Like%22,%22Jive Bunny & The Mastermixers%22+%22That%27s What I Like%22,%22Jive Bunny & The Mastermixers%22+%22That%27s What I Like%22,15,33,%22Jive Bunny%22+%22That%27s What I Like%22,,,https://www.google.com/search?q=%22Jive Bunny%22+%22That%27s What I Like%22&ie=utf-8&oe=utf-8
02/03/90,1990,86,"Chimes, The",Chimes,1-2-3,1-2-3,3:16,Columbia 73087,Chimes--1-2-3 (1990),%22Chimes%22+%221-2-3%22,%22Chimes%22+%221-2-3%22,%22Chimes%22+%221-2-3%22,,,%22Chimes%22+%221-2-3%22,,,https://www.google.com/search?q=%22Chimes%22+%221-2-3%22&ie=utf-8&oe=utf-8
02/10/90,1990,2,Jane Child,Jane Child,Don’t Wanna Fall In Love,Don't Wanna Fall in Love,4:04,Warner 19933,Jane Child--Don't Wanna Fall in Love (1990),%22Jane Child%22+%22Don't Wanna Fall in Love%22,%22Jane Child%22+%22Don%27t Wanna Fall in Love%22,%22Jane Child%22+%22Don%27t Wanna Fall in Love%22,,,%22Jane Child%22+%22Don%27t Wanna Fall in Love%22,,,https://www.google.com/search?q=%22Jane Child%22+%22Don%27t Wanna Fall in Love%22&ie=utf-8&oe=utf-8
